JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW32_TP006.npy Masking [0, 2, 7] results in correlation (-0.058, 0.662) for AF 7 
JW32_TP006.npy Masking [0, 3, 4] results in correlation (0.951, 0.523) for AF 3 
JW32_TP006.npy Masking [0, 3, 5] results in correlation (0.901, 0.600) for AF 0 
JW32_TP006.npy Masking [0, 3, 6] results in correlation (0.801, 0.635) for AF 0 
JW32_TP006.npy Masking [0, 3, 7] results in correlation (0.896, 0.473) for AF 0 
JW32_TP006.npy Masking [0, 3, 7] results in correlation (-0.236, 0.721) for AF 7 
JW32_TP006.npy Masking [0, 4, 5] results in correlation (0.754, 0.190) for AF 5 
JW32_TP006.npy Masking [0, 4, 7] results in correlation (0.890, 0.679) for AF 0 
JW32_TP006.npy Masking [0, 4, 7] results in correlation (-0.023, 0.669) for AF 7 
JW32_TP006.npy Masking [0, 5, 7] results in correlation (0.917, 0.604) for AF 0 
JW32_TP006.npy Masking [0, 5, 7] results in correlation (-0.056, 0.767) for AF 7 
JW32_TP006.npy Masking [0, 6, 7] results in correlation (0.826, 0.603) for AF 0 
JW32_TP006.npy Masking [0, 6, 7] results in correlation (0.479, 0.614) for AF 6 
JW32_TP006.npy Masking [0, 6, 7] results in correlation (-0.137, 0.660) for AF 7 
JW32_TP006.npy Masking [1, 2, 3] results in correlation (0.817, 0.075) for AF 2 
JW32_TP006.npy Masking [1, 2, 6] results in correlation (0.697, 0.962) for AF 6 
JW32_TP006.npy Masking [1, 2, 7] results in correlation (0.295, 0.516) for AF 7 
JW32_TP006.npy Masking [1, 3, 4] results in correlation (0.946, 0.492) for AF 3 
JW32_TP006.npy Masking [1, 3, 6] results in correlation (0.435, 0.985) for AF 6 
JW32_TP006.npy Masking [1, 3, 7] results in correlation (0.275, 0.587) for AF 7 
JW32_TP006.npy Masking [1, 4, 5] results in correlation (0.739, 0.211) for AF 5 
JW32_TP006.npy Masking [1, 4, 6] results in correlation (0.652, 0.962) for AF 6 
JW32_TP006.npy Masking [1, 4, 7] results in correlation (0.307, 0.449) for AF 7 
JW32_TP006.npy Masking [1, 5, 6] results in correlation (0.569, 0.966) for AF 6 
JW32_TP006.npy Masking [1, 5, 7] results in correlation (0.330, 0.611) for AF 7 
JW32_TP006.npy Masking [1, 6, 7] results in correlation (0.602, 0.601) for AF 1 
JW32_TP006.npy Masking [1, 6, 7] results in correlation (0.147, 0.666) for AF 6 
JW32_TP006.npy Masking [1, 6, 7] results in correlation (-0.025, 0.326) for AF 7 
JW32_TP006.npy Masking [2, 3, 4] results in correlation (0.569, 0.403) for AF 2 
JW32_TP006.npy Masking [2, 3, 4] results in correlation (0.513, 0.243) for AF 3 
JW32_TP006.npy Masking [2, 3, 5] results in correlation (0.524, 0.443) for AF 2 
JW32_TP006.npy Masking [2, 3, 6] results in correlation (0.745, 0.052) for AF 2 
JW32_TP006.npy Masking [2, 3, 7] results in correlation (0.696, 0.148) for AF 2 
JW32_TP006.npy Masking [2, 3, 7] results in correlation (0.061, 0.728) for AF 7 
JW32_TP006.npy Masking [2, 4, 5] results in correlation (0.761, 0.080) for AF 5 
JW32_TP006.npy Masking [2, 4, 7] results in correlation (0.249, 0.513) for AF 7 
JW32_TP006.npy Masking [2, 5, 7] results in correlation (0.090, 0.786) for AF 7 
JW32_TP006.npy Masking [2, 6, 7] results in correlation (0.521, 0.586) for AF 6 
JW32_TP006.npy Masking [2, 6, 7] results in correlation (-0.291, 0.603) for AF 7 
JW32_TP006.npy Masking [3, 4, 5] results in correlation (0.887, 0.548) for AF 3 
JW32_TP006.npy Masking [3, 4, 5] results in correlation (0.722, 0.077) for AF 4 
JW32_TP006.npy Masking [3, 4, 5] results in correlation (0.069, 0.416) for AF 5 
JW32_TP006.npy Masking [3, 4, 6] results in correlation (0.957, 0.445) for AF 3 
JW32_TP006.npy Masking [3, 4, 7] results in correlation (0.939, 0.598) for AF 3 
JW32_TP006.npy Masking [3, 4, 7] results in correlation (0.289, 0.598) for AF 7 
JW32_TP006.npy Masking [3, 5, 7] results in correlation (0.146, 0.716) for AF 7 
JW32_TP006.npy Masking [3, 6, 7] results in correlation (0.637, 0.768) for AF 6 
JW32_TP006.npy Masking [3, 6, 7] results in correlation (-0.107, 0.669) for AF 7 
JW32_TP006.npy Masking [4, 5, 6] results in correlation (0.732, 0.110) for AF 5 
JW32_TP006.npy Masking [4, 5, 7] results in correlation (0.757, 0.199) for AF 5 
JW32_TP006.npy Masking [4, 5, 7] results in correlation (0.009, 0.672) for AF 7 
JW32_TP006.npy Masking [4, 6, 7] results in correlation (0.307, 0.779) for AF 6 
JW32_TP006.npy Masking [4, 6, 7] results in correlation (0.005, 0.523) for AF 7 
JW32_TP006.npy Masking [5, 6, 7] results in correlation (0.479, 0.658) for AF 6 
JW32_TP006.npy Masking [5, 6, 7] results in correlation (0.028, 0.648) for AF 7 
JW32_TP003.npy Masking [7, 2, 6] results in correlation (-0.371, 0.488) for AF 7 
JW32_TP010.npy Masking [2, 3] results in correlation (0.791, 0.276) for AF 2 
JW32_TP010.npy Masking [7, 3] results in correlation (-0.228, 0.477) for AF 7 
JW32_TP010.npy Masking [0, 1, 3] results in correlation (0.258, 0.402) for AF 0 
JW32_TP010.npy Masking [0, 1, 3] results in correlation (0.515, 0.570) for AF 1 
JW32_TP010.npy Masking [0, 2, 3] results in correlation (0.772, 0.262) for AF 2 
JW32_TP010.npy Masking [0, 4, 3] results in correlation (0.801, 0.699) for AF 0 
JW32_TP010.npy Masking [0, 5, 3] results in correlation (0.774, 0.614) for AF 0 
JW32_TP010.npy Masking [0, 6, 3] results in correlation (0.762, 0.597) for AF 0 
JW32_TP010.npy Masking [0, 7, 3] results in correlation (0.835, 0.633) for AF 0 
JW32_TP010.npy Masking [0, 7, 3] results in correlation (-0.461, 0.370) for AF 7 
JW32_TP010.npy Masking [1, 2, 3] results in correlation (0.792, 0.667) for AF 1 
JW32_TP010.npy Masking [1, 2, 3] results in correlation (0.765, 0.241) for AF 2 
JW32_TP010.npy Masking [1, 5, 3] results in correlation (0.645, 0.769) for AF 1 
JW32_TP010.npy Masking [1, 6, 3] results in correlation (0.536, 0.791) for AF 1 
JW32_TP010.npy Masking [1, 6, 3] results in correlation (0.491, 0.986) for AF 6 
JW32_TP010.npy Masking [1, 7, 3] results in correlation (0.039, 0.385) for AF 7 
JW32_TP010.npy Masking [2, 4, 3] results in correlation (0.507, 0.657) for AF 2 
JW32_TP010.npy Masking [2, 5, 3] results in correlation (0.725, 0.238) for AF 2 
JW32_TP010.npy Masking [2, 6, 3] results in correlation (0.763, -0.087) for AF 2 
JW32_TP010.npy Masking [2, 7, 3] results in correlation (0.741, -0.113) for AF 2 
JW32_TP010.npy Masking [2, 7, 3] results in correlation (-0.165, 0.553) for AF 7 
JW32_TP010.npy Masking [4, 5, 3] results in correlation (0.724, -0.424) for AF 4 
JW32_TP010.npy Masking [4, 5, 3] results in correlation (0.584, 0.293) for AF 5 
JW32_TP010.npy Masking [4, 7, 3] results in correlation (-0.083, 0.284) for AF 7 
JW32_TP010.npy Masking [5, 7, 3] results in correlation (0.030, 0.538) for AF 7 
JW32_TP010.npy Masking [6, 7, 3] results in correlation (0.630, 0.819) for AF 6 
JW32_TP010.npy Masking [6, 7, 3] results in correlation (0.137, 0.502) for AF 7 
JW32_TP026.npy Masking [0, 1, 7] results in correlation (-0.149, 0.369) for AF 0 
JW32_TP026.npy Masking [6, 1, 7] results in correlation (0.358, 0.699) for AF 6 
JW32_TP011.npy Masking [7, 0, 1] results in correlation (-0.285, 0.550) for AF 7 
JW32_TP013.npy Masking [7] results in correlation (0.422, 0.905) for AF 7 
