JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW60_TP038.npy Masking [0, 1, 7] results in correlation (0.399, 0.580) for AF 0 
JW60_TP038.npy Masking [0, 1, 7] results in correlation (0.684, 0.527) for AF 1 
JW60_TP038.npy Masking [0, 2, 7] results in correlation (0.778, 0.299) for AF 0 
JW60_TP038.npy Masking [0, 3, 7] results in correlation (0.756, 0.360) for AF 0 
JW60_TP038.npy Masking [0, 4, 7] results in correlation (0.777, 0.429) for AF 0 
JW60_TP038.npy Masking [0, 5, 7] results in correlation (0.762, 0.470) for AF 0 
JW60_TP038.npy Masking [0, 6, 7] results in correlation (0.662, 0.368) for AF 0 
JW60_TP038.npy Masking [1, 2, 7] results in correlation (0.787, 0.540) for AF 1 
JW60_TP038.npy Masking [1, 3, 7] results in correlation (0.803, 0.567) for AF 1 
JW60_TP038.npy Masking [1, 4, 7] results in correlation (0.804, 0.540) for AF 1 
JW60_TP038.npy Masking [1, 5, 7] results in correlation (0.800, 0.566) for AF 1 
JW60_TP038.npy Masking [1, 6, 7] results in correlation (0.582, 0.309) for AF 1 
JW60_TP038.npy Masking [1, 6, 7] results in correlation (0.367, 0.666) for AF 6 
JW60_TP045.npy Masking [0, 7] results in correlation (0.725, 0.685) for AF 0 
JW60_TP045.npy Masking [0, 1, 7] results in correlation (0.345, 0.451) for AF 0 
JW60_TP045.npy Masking [0, 1, 7] results in correlation (0.554, 0.595) for AF 1 
JW60_TP045.npy Masking [0, 2, 7] results in correlation (0.752, 0.668) for AF 0 
JW60_TP045.npy Masking [0, 5, 7] results in correlation (0.744, 0.670) for AF 0 
JW60_TP045.npy Masking [0, 6, 7] results in correlation (0.576, 0.567) for AF 0 
JW60_TP045.npy Masking [1, 6, 7] results in correlation (0.731, 0.620) for AF 1 
JW60_TP045.npy Masking [1, 6, 7] results in correlation (0.691, 0.836) for AF 6 
JW60_TP015.npy Masking [0, 1, 2] results in correlation (0.840, 0.670) for AF 0 
JW60_TP014.npy Masking [0, 1, 2] results in correlation (0.846, 0.531) for AF 0 
JW60_TP083.npy Masking [0, 7] results in correlation (0.844, 0.641) for AF 0 
JW60_TP083.npy Masking [0, 1, 7] results in correlation (0.686, 0.398) for AF 0 
JW60_TP083.npy Masking [0, 1, 7] results in correlation (0.668, 0.798) for AF 1 
JW60_TP083.npy Masking [0, 2, 7] results in correlation (0.863, 0.577) for AF 0 
JW60_TP083.npy Masking [0, 3, 7] results in correlation (0.843, 0.626) for AF 0 
JW60_TP083.npy Masking [0, 4, 7] results in correlation (0.828, 0.629) for AF 0 
JW60_TP083.npy Masking [0, 5, 7] results in correlation (0.841, 0.626) for AF 0 
JW60_TP083.npy Masking [0, 6, 7] results in correlation (0.791, 0.538) for AF 0 
JW60_TP083.npy Masking [1, 6, 7] results in correlation (0.671, 0.616) for AF 1 
JW60_TP001.npy Masking [0, 2, 1] results in correlation (0.750, 0.700) for AF 0 
JW60_TP001.npy Masking [0, 4, 1] results in correlation (0.780, 0.683) for AF 0 
JW60_TP001.npy Masking [0, 5, 1] results in correlation (0.745, 0.663) for AF 0 
JW60_TP001.npy Masking [0, 7, 1] results in correlation (0.760, 0.691) for AF 0 
JW60_TP021.npy Masking [0, 1, 3] results in correlation (0.383, 0.713) for AF 0 
JW60_TP021.npy Masking [0, 2, 3] results in correlation (0.784, 0.683) for AF 0 
JW60_TP021.npy Masking [0, 6, 3] results in correlation (0.676, 0.767) for AF 0 
JW60_TP021.npy Masking [4, 5, 3] results in correlation (0.896, 0.537) for AF 4 
JW60_TP021.npy Masking [4, 5, 3] results in correlation (0.863, 0.664) for AF 5 
JW60_TP036.npy Masking [0, 7] results in correlation (0.767, 0.654) for AF 0 
JW60_TP036.npy Masking [0, 1, 7] results in correlation (0.391, 0.401) for AF 0 
JW60_TP036.npy Masking [0, 1, 7] results in correlation (0.620, 0.642) for AF 1 
JW60_TP036.npy Masking [0, 2, 7] results in correlation (0.783, 0.629) for AF 0 
JW60_TP036.npy Masking [0, 3, 7] results in correlation (0.776, 0.647) for AF 0 
JW60_TP036.npy Masking [0, 4, 7] results in correlation (0.813, 0.672) for AF 0 
JW60_TP036.npy Masking [0, 5, 7] results in correlation (0.771, 0.644) for AF 0 
JW60_TP036.npy Masking [0, 6, 7] results in correlation (0.609, 0.608) for AF 0 
JW60_TP036.npy Masking [1, 6, 7] results in correlation (0.500, 0.665) for AF 1 
JW60_TP036.npy Masking [1, 6, 7] results in correlation (0.540, 0.765) for AF 6 
JW60_TP062.npy Masking [0, 7] results in correlation (0.840, 0.689) for AF 0 
JW60_TP062.npy Masking [0, 1, 7] results in correlation (0.122, 0.560) for AF 0 
JW60_TP062.npy Masking [0, 1, 7] results in correlation (0.517, 0.661) for AF 1 
JW60_TP062.npy Masking [0, 3, 7] results in correlation (0.844, 0.680) for AF 0 
JW60_TP062.npy Masking [0, 4, 7] results in correlation (0.829, 0.666) for AF 0 
JW60_TP062.npy Masking [0, 6, 7] results in correlation (0.781, 0.646) for AF 0 
JW60_TP062.npy Masking [1, 6, 7] results in correlation (0.437, 0.526) for AF 1 
JW60_TP062.npy Masking [1, 6, 7] results in correlation (0.603, 0.836) for AF 6 
JW60_TP086.npy Masking [0, 7] results in correlation (0.870, 0.469) for AF 0 
JW60_TP086.npy Masking [0, 1, 7] results in correlation (0.600, 0.269) for AF 0 
JW60_TP086.npy Masking [0, 2, 7] results in correlation (0.876, 0.484) for AF 0 
JW60_TP086.npy Masking [0, 3, 7] results in correlation (0.874, 0.473) for AF 0 
JW60_TP086.npy Masking [0, 4, 7] results in correlation (0.891, 0.484) for AF 0 
JW60_TP086.npy Masking [0, 5, 7] results in correlation (0.879, 0.476) for AF 0 
JW60_TP086.npy Masking [0, 6, 7] results in correlation (0.728, 0.380) for AF 0 
JW60_TP086.npy Masking [1, 6, 7] results in correlation (0.654, 0.700) for AF 1 
JW60_TP086.npy Masking [1, 6, 7] results in correlation (0.568, 0.757) for AF 6 
JW60_TP022.npy Masking [2, 3, 4] results in correlation (0.736, 0.637) for AF 2 
JW60_TP099.npy Masking [0, 7] results in correlation (0.879, 0.677) for AF 0 
JW60_TP099.npy Masking [0, 1, 7] results in correlation (0.436, 0.534) for AF 0 
JW60_TP099.npy Masking [0, 4, 7] results in correlation (0.889, 0.682) for AF 0 
JW60_TP099.npy Masking [0, 5, 7] results in correlation (0.890, 0.663) for AF 0 
JW60_TP099.npy Masking [0, 6, 7] results in correlation (0.862, 0.571) for AF 0 
JW60_TP099.npy Masking [0, 6, 7] results in correlation (0.676, 0.938) for AF 6 
JW60_TP099.npy Masking [1, 6, 7] results in correlation (0.656, 0.775) for AF 1 
JW60_TP099.npy Masking [1, 6, 7] results in correlation (0.479, 0.856) for AF 6 
JW60_TP005.npy Masking [0, 1, 3] results in correlation (0.352, 0.505) for AF 0 
JW60_TP005.npy Masking [0, 1, 3] results in correlation (0.663, 0.720) for AF 1 
JW60_TP005.npy Masking [0, 2, 3] results in correlation (0.828, 0.652) for AF 0 
JW60_TP005.npy Masking [2, 4, 3] results in correlation (0.730, 0.439) for AF 2 
JW60_TP005.npy Masking [2, 5, 3] results in correlation (0.813, 0.587) for AF 2 
JW60_TP005.npy Masking [4, 5, 3] results in correlation (0.863, 0.416) for AF 4 
JW60_TP005.npy Masking [4, 5, 3] results in correlation (0.901, 0.379) for AF 5 
JW60_TP084.npy Masking [0, 7] results in correlation (0.844, 0.686) for AF 0 
JW60_TP084.npy Masking [0, 1, 7] results in correlation (0.460, 0.513) for AF 0 
JW60_TP084.npy Masking [0, 1, 7] results in correlation (0.694, 0.760) for AF 1 
JW60_TP084.npy Masking [0, 2, 7] results in correlation (0.845, 0.540) for AF 0 
JW60_TP084.npy Masking [0, 3, 7] results in correlation (0.851, 0.682) for AF 0 
JW60_TP084.npy Masking [0, 5, 7] results in correlation (0.854, 0.695) for AF 0 
JW60_TP084.npy Masking [0, 6, 7] results in correlation (0.756, 0.411) for AF 0 
JW60_TP084.npy Masking [1, 6, 7] results in correlation (0.733, 0.623) for AF 1 
JW60_TP084.npy Masking [1, 6, 7] results in correlation (0.668, 0.797) for AF 6 
JW60_TP105.npy Masking [0, 6] results in correlation (0.533, 0.850) for AF 0 
JW60_TP105.npy Masking [0, 1, 6] results in correlation (0.284, 0.635) for AF 0 
JW60_TP105.npy Masking [0, 2, 6] results in correlation (0.420, 0.782) for AF 0 
JW60_TP105.npy Masking [0, 3, 6] results in correlation (0.602, 0.837) for AF 0 
JW60_TP105.npy Masking [0, 4, 6] results in correlation (0.516, 0.812) for AF 0 
JW60_TP105.npy Masking [0, 5, 6] results in correlation (0.488, 0.847) for AF 0 
JW60_TP105.npy Masking [0, 7, 6] results in correlation (0.526, 0.805) for AF 0 
JW60_TP003.npy Masking [0] results in correlation (0.910, 0.599) for AF 0 
JW60_TP003.npy Masking [0, 1] results in correlation (0.629, 0.476) for AF 0 
JW60_TP003.npy Masking [0, 2] results in correlation (0.925, 0.549) for AF 0 
JW60_TP003.npy Masking [0, 3] results in correlation (0.918, 0.578) for AF 0 
JW60_TP003.npy Masking [0, 4] results in correlation (0.917, 0.547) for AF 0 
JW60_TP003.npy Masking [0, 5] results in correlation (0.913, 0.570) for AF 0 
JW60_TP003.npy Masking [0, 6] results in correlation (0.866, 0.588) for AF 0 
JW60_TP003.npy Masking [0, 7] results in correlation (0.902, 0.565) for AF 0 
JW60_TP009.npy Masking [0, 1] results in correlation (0.498, 0.745) for AF 0 
JW60_TP009.npy Masking [0, 6] results in correlation (0.670, 0.874) for AF 0 
JW60_TP007.npy Masking [0, 1, 3] results in correlation (0.461, 0.609) for AF 0 
JW60_TP007.npy Masking [0, 6, 3] results in correlation (0.653, 0.783) for AF 0 
JW60_TP007.npy Masking [4, 5, 3] results in correlation (0.922, 0.584) for AF 4 
JW60_TP007.npy Masking [4, 5, 3] results in correlation (0.945, 0.604) for AF 5 
JW60_TP094.npy Masking [0, 1, 7] results in correlation (0.363, 0.538) for AF 0 
JW60_TP018.npy Masking [0, 1] results in correlation (0.754, 0.699) for AF 0 
JW60_TP088.npy Masking [0, 7] results in correlation (0.898, 0.528) for AF 0 
JW60_TP088.npy Masking [0, 1, 7] results in correlation (0.595, 0.357) for AF 0 
JW60_TP088.npy Masking [0, 2, 7] results in correlation (0.900, 0.584) for AF 0 
JW60_TP088.npy Masking [0, 3, 7] results in correlation (0.909, 0.546) for AF 0 
JW60_TP088.npy Masking [0, 4, 7] results in correlation (0.901, 0.534) for AF 0 
JW60_TP088.npy Masking [0, 5, 7] results in correlation (0.902, 0.532) for AF 0 
JW60_TP088.npy Masking [0, 6, 7] results in correlation (0.805, 0.479) for AF 0 
JW60_TP088.npy Masking [1, 6, 7] results in correlation (0.638, 0.665) for AF 1 
JW60_TP088.npy Masking [1, 6, 7] results in correlation (0.515, 0.869) for AF 6 
JW60_TP016.npy Masking [0, 3] results in correlation (0.639, 0.722) for AF 0 
JW60_TP016.npy Masking [0, 1, 3] results in correlation (0.374, 0.457) for AF 0 
JW60_TP016.npy Masking [0, 2, 3] results in correlation (0.615, 0.686) for AF 0 
JW60_TP016.npy Masking [0, 4, 3] results in correlation (0.655, 0.734) for AF 0 
JW60_TP016.npy Masking [0, 5, 3] results in correlation (0.680, 0.720) for AF 0 
JW60_TP016.npy Masking [0, 6, 3] results in correlation (0.602, 0.706) for AF 0 
JW60_TP016.npy Masking [0, 7, 3] results in correlation (0.665, 0.752) for AF 0 
JW60_TP016.npy Masking [2, 4, 3] results in correlation (0.606, 0.882) for AF 2 
JW60_TP016.npy Masking [4, 5, 3] results in correlation (0.883, 0.613) for AF 4 
JW60_TP016.npy Masking [4, 5, 3] results in correlation (0.905, 0.515) for AF 5 
JW60_TP101.npy Masking [0, 7] results in correlation (0.780, 0.475) for AF 0 
JW60_TP101.npy Masking [0, 1, 7] results in correlation (0.491, 0.286) for AF 0 
JW60_TP101.npy Masking [0, 2, 7] results in correlation (0.757, 0.490) for AF 0 
JW60_TP101.npy Masking [0, 3, 7] results in correlation (0.786, 0.497) for AF 0 
JW60_TP101.npy Masking [0, 4, 7] results in correlation (0.806, 0.485) for AF 0 
JW60_TP101.npy Masking [0, 5, 7] results in correlation (0.794, 0.542) for AF 0 
JW60_TP101.npy Masking [0, 6, 7] results in correlation (0.657, 0.420) for AF 0 
JW60_TP101.npy Masking [1, 6, 7] results in correlation (0.588, 0.462) for AF 1 
JW60_TP101.npy Masking [2, 3, 7] results in correlation (0.903, 0.646) for AF 2 
JW60_TP046.npy Masking [0, 1, 7] results in correlation (0.569, 0.390) for AF 0 
JW60_TP046.npy Masking [0, 6, 7] results in correlation (0.687, 0.608) for AF 0 
JW60_TP046.npy Masking [1, 6, 7] results in correlation (0.647, 0.699) for AF 1 
JW60_TP085.npy Masking [0, 7] results in correlation (0.766, 0.419) for AF 0 
JW60_TP085.npy Masking [0, 1, 7] results in correlation (0.256, 0.224) for AF 0 
JW60_TP085.npy Masking [0, 1, 7] results in correlation (0.599, 0.675) for AF 1 
JW60_TP085.npy Masking [0, 2, 7] results in correlation (0.782, 0.333) for AF 0 
JW60_TP085.npy Masking [0, 3, 7] results in correlation (0.781, 0.464) for AF 0 
JW60_TP085.npy Masking [0, 4, 7] results in correlation (0.773, 0.418) for AF 0 
JW60_TP085.npy Masking [0, 5, 7] results in correlation (0.784, 0.491) for AF 0 
JW60_TP085.npy Masking [0, 6, 7] results in correlation (0.685, 0.508) for AF 0 
JW60_TP085.npy Masking [1, 6, 7] results in correlation (0.701, 0.656) for AF 1 
JW60_TP077.npy Masking [0, 5, 7] results in correlation (0.697, 0.680) for AF 0 
JW60_TP071.npy Masking [0, 7] results in correlation (0.809, 0.597) for AF 0 
JW60_TP071.npy Masking [0, 1, 7] results in correlation (0.470, 0.440) for AF 0 
JW60_TP071.npy Masking [0, 2, 7] results in correlation (0.818, 0.556) for AF 0 
JW60_TP071.npy Masking [0, 3, 7] results in correlation (0.831, 0.604) for AF 0 
JW60_TP071.npy Masking [0, 4, 7] results in correlation (0.818, 0.619) for AF 0 
JW60_TP071.npy Masking [0, 5, 7] results in correlation (0.820, 0.549) for AF 0 
JW60_TP071.npy Masking [0, 6, 7] results in correlation (0.684, 0.471) for AF 0 
JW60_TP071.npy Masking [1, 6, 7] results in correlation (0.652, 0.767) for AF 1 
JW60_TP071.npy Masking [4, 5, 7] results in correlation (0.911, 0.665) for AF 5 
JW60_TP044.npy Masking [0, 1, 7] results in correlation (0.617, 0.481) for AF 0 
JW60_TP044.npy Masking [6, 1, 7] results in correlation (0.689, 0.753) for AF 6 
JW60_TP074.npy Masking [0, 5, 7] results in correlation (0.851, 0.638) for AF 0 
JW60_TP028.npy Masking [0, 7] results in correlation (0.867, 0.615) for AF 0 
JW60_TP028.npy Masking [0, 1, 7] results in correlation (0.422, 0.382) for AF 0 
JW60_TP028.npy Masking [0, 1, 7] results in correlation (0.676, 0.770) for AF 1 
JW60_TP028.npy Masking [0, 2, 7] results in correlation (0.856, 0.499) for AF 0 
JW60_TP028.npy Masking [0, 3, 7] results in correlation (0.877, 0.643) for AF 0 
JW60_TP028.npy Masking [0, 4, 7] results in correlation (0.868, 0.653) for AF 0 
JW60_TP028.npy Masking [0, 5, 7] results in correlation (0.852, 0.603) for AF 0 
JW60_TP028.npy Masking [0, 6, 7] results in correlation (0.883, 0.555) for AF 0 
JW60_TP048.npy Masking [0, 7] results in correlation (0.682, 0.641) for AF 0 
JW60_TP048.npy Masking [0, 1, 7] results in correlation (0.339, 0.533) for AF 0 
JW60_TP048.npy Masking [0, 2, 7] results in correlation (0.670, 0.585) for AF 0 
JW60_TP048.npy Masking [0, 3, 7] results in correlation (0.708, 0.652) for AF 0 
JW60_TP048.npy Masking [0, 4, 7] results in correlation (0.631, 0.635) for AF 0 
JW60_TP048.npy Masking [0, 5, 7] results in correlation (0.720, 0.664) for AF 0 
JW60_TP048.npy Masking [0, 6, 7] results in correlation (0.462, 0.589) for AF 0 
JW60_TP048.npy Masking [1, 6, 7] results in correlation (0.425, 0.535) for AF 1 
JW60_TP048.npy Masking [1, 6, 7] results in correlation (0.641, 0.752) for AF 6 
JW60_TP098.npy Masking [0, 7] results in correlation (0.809, 0.607) for AF 0 
JW60_TP098.npy Masking [0, 1, 7] results in correlation (0.495, 0.326) for AF 0 
JW60_TP098.npy Masking [0, 2, 7] results in correlation (0.817, 0.559) for AF 0 
JW60_TP098.npy Masking [0, 3, 7] results in correlation (0.811, 0.634) for AF 0 
JW60_TP098.npy Masking [0, 4, 7] results in correlation (0.831, 0.664) for AF 0 
JW60_TP098.npy Masking [0, 5, 7] results in correlation (0.824, 0.599) for AF 0 
JW60_TP098.npy Masking [0, 6, 7] results in correlation (0.633, 0.566) for AF 0 
JW60_TP098.npy Masking [1, 6, 7] results in correlation (0.678, 0.800) for AF 6 
JW60_TP006.npy Masking [0, 1, 2] results in correlation (0.799, 0.625) for AF 0 
JW60_TP039.npy Masking [0, 7] results in correlation (0.767, 0.523) for AF 0 
JW60_TP039.npy Masking [0, 1, 7] results in correlation (0.620, 0.385) for AF 0 
JW60_TP039.npy Masking [0, 2, 7] results in correlation (0.764, 0.435) for AF 0 
JW60_TP039.npy Masking [0, 3, 7] results in correlation (0.768, 0.509) for AF 0 
JW60_TP039.npy Masking [0, 4, 7] results in correlation (0.761, 0.536) for AF 0 
JW60_TP039.npy Masking [0, 5, 7] results in correlation (0.762, 0.554) for AF 0 
JW60_TP039.npy Masking [0, 6, 7] results in correlation (0.685, 0.459) for AF 0 
JW60_TP039.npy Masking [1, 6, 7] results in correlation (0.598, 0.625) for AF 1 
JW60_TP049.npy Masking [0, 7] results in correlation (0.783, 0.434) for AF 0 
JW60_TP049.npy Masking [0, 1, 7] results in correlation (0.178, 0.049) for AF 0 
JW60_TP049.npy Masking [0, 1, 7] results in correlation (0.661, 0.655) for AF 1 
JW60_TP049.npy Masking [0, 2, 7] results in correlation (0.793, 0.551) for AF 0 
JW60_TP049.npy Masking [0, 3, 7] results in correlation (0.792, 0.489) for AF 0 
JW60_TP049.npy Masking [0, 4, 7] results in correlation (0.808, 0.470) for AF 0 
JW60_TP049.npy Masking [0, 5, 7] results in correlation (0.810, 0.511) for AF 0 
JW60_TP049.npy Masking [0, 6, 7] results in correlation (0.751, 0.432) for AF 0 
JW60_TP049.npy Masking [1, 6, 7] results in correlation (0.702, 0.580) for AF 1 
JW60_TP097.npy Masking [0, 1, 7] results in correlation (0.356, 0.584) for AF 0 
JW60_TP097.npy Masking [0, 6, 7] results in correlation (0.578, 0.596) for AF 0 
JW60_TP097.npy Masking [0, 6, 7] results in correlation (0.645, 0.944) for AF 6 
JW60_TP097.npy Masking [1, 6, 7] results in correlation (0.597, 0.925) for AF 6 
JW60_TP096.npy Masking [0, 5, 7] results in correlation (0.743, 0.454) for AF 0 
JW60_TP050.npy Masking [0, 7] results in correlation (0.886, 0.274) for AF 0 
JW60_TP050.npy Masking [1, 7] results in correlation (0.777, 0.650) for AF 1 
JW60_TP050.npy Masking [0, 1, 7] results in correlation (0.606, 0.249) for AF 0 
JW60_TP050.npy Masking [0, 1, 7] results in correlation (0.641, 0.584) for AF 1 
JW60_TP050.npy Masking [0, 2, 7] results in correlation (0.884, 0.255) for AF 0 
JW60_TP050.npy Masking [0, 3, 7] results in correlation (0.899, 0.294) for AF 0 
JW60_TP050.npy Masking [0, 4, 7] results in correlation (0.889, 0.253) for AF 0 
JW60_TP050.npy Masking [0, 5, 7] results in correlation (0.890, 0.323) for AF 0 
JW60_TP050.npy Masking [0, 6, 7] results in correlation (0.833, 0.126) for AF 0 
JW60_TP050.npy Masking [1, 2, 7] results in correlation (0.808, 0.672) for AF 1 
JW60_TP050.npy Masking [1, 3, 7] results in correlation (0.766, 0.620) for AF 1 
JW60_TP050.npy Masking [1, 4, 7] results in correlation (0.768, 0.631) for AF 1 
JW60_TP050.npy Masking [1, 5, 7] results in correlation (0.802, 0.685) for AF 1 
JW60_TP050.npy Masking [1, 6, 7] results in correlation (0.656, 0.527) for AF 1 
JW60_TP050.npy Masking [1, 6, 7] results in correlation (0.618, 0.851) for AF 6 
JW60_TP043.npy Masking [0, 7] results in correlation (0.823, 0.581) for AF 0 
JW60_TP043.npy Masking [0, 1, 7] results in correlation (0.506, 0.364) for AF 0 
JW60_TP043.npy Masking [0, 1, 7] results in correlation (0.722, 0.642) for AF 1 
JW60_TP043.npy Masking [0, 2, 7] results in correlation (0.812, 0.587) for AF 0 
JW60_TP043.npy Masking [0, 3, 7] results in correlation (0.820, 0.588) for AF 0 
JW60_TP043.npy Masking [0, 4, 7] results in correlation (0.799, 0.612) for AF 0 
JW60_TP043.npy Masking [0, 5, 7] results in correlation (0.827, 0.591) for AF 0 
